ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
3212,"Inclua Foto do seu negocio",,,2025-02-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/foto-do-anunciante/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,foto-do-anunciante,,,0,0,5,closed,closed,2025-04-03
3213,"Categoria *",,,2025-02-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/categoria/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,categoria,,,0,0,2,closed,closed,2025-03-19
3214,"WhatsApp *",,,2025-02-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/whatsapp/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,whatsapp,,,0,0,3,closed,closed,2025-03-19
3216,"Endereço instagram",,,2025-02-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/endereco-instagram/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,endereco-instagram,,,0,0,15,closed,closed,2025-03-26
3217,"Endereço Facebook",,,2025-02-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/endereco-facebook/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,endereco-facebook,,,0,0,16,closed,closed,2025-03-26
3218,"Aceito os termos",,,2025-02-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/aceito-os-termos-de-uso-e-a-politica-de-privacidade/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,aceito-os-termos-de-uso-e-a-politica-de-privacidade,,,0,0,50,closed,closed,2025-03-26
3224,"Nome do seu negócio *",,,2025-02-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/nome-do-seu-negocio/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,nome-do-seu-negocio,,,0,0,1,closed,closed,2025-03-19
3226,"Descrição *",,,2025-02-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/descricao/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,descricao,,,0,0,4,closed,closed,2025-03-19
3227,"Sua chave Pix para Recebimento",,,2025-02-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/chave-pix/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,chave-pix,,,0,0,40,closed,closed,2025-03-26
3234,"Endereço Linkedin",,,2025-02-27,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/endereco-linkedin/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,endereco-linkedin,,,0,0,17,closed,closed,2025-03-26
3239,"Cep *",,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/cep/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,cep,,,0,0,6,closed,closed,2025-03-19
3240,"Endereço *",,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/endereco/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,endereco,,,0,0,7,closed,closed,2025-03-19
3241,"Número *",,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/numero/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,numero,,,0,0,8,closed,closed,2025-03-19
3242,Complemento,,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/complemento/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,complemento,,,0,0,9,closed,closed,2025-03-19
3243,"Bairro *",,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/bairro/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,bairro,,,0,0,10,closed,closed,2025-03-19
3244,"Cidade *",,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/cidade/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,cidade,,,0,0,11,closed,closed,2025-03-19
